syllable,syllable_duration,word,word_begin,word_end,word_num_syllables,word_stress_pattern,utterance_speech_rate,speaker,file
AA1.R.M,0.33999999999999986,arm,4.83,5.17,1,1,5.676855895196506,61,61-70968-0050
AA1.R.M,0.3399999999999994,arm,3.93,4.27,1,1,5.235602094240838,61,61-70970-0007
AA1.R.M,0.3900000000000001,arm,2.33,2.72,1,1,4.382470119521912,61,61-70968-0042
AE1.N,0.1899999999999995,answer,7.66,8.14,2,1-0,4.458598726114649,61,61-70970-0015
AO1.L,0.29000000000000004,all,2.31,2.6,1,1,6.167400881057269,61,61-70968-0050
AY1,0.03,i,0.09,0.12,1,1,33.333333333333336,61,61-70968-0017
B.AE1.K,0.34999999999999964,back,3.43,3.78,1,1,5.337078651685394,61,61-70968-0027
B.AW1,0.27,bower,1.4,1.87,2,1-0,6.432748538011695,61,61-70970-0016
B.AW1.T,0.33999999999999986,bout,4.54,4.88,1,1,5.2434456928838955,61,61-70968-0023
B.AY1,0.41000000000000014,by,6.71,7.12,1,1,4.696969696969697,61,61-70970-0035
B.AY1,0.43000000000000016,by,1.73,2.16,1,1,4.790419161676646,61,61-70970-0018
B.EH1.L.T,0.41999999999999993,belt,6.72,7.14,1,1,4.920405209840811,61,61-70968-0014
B.OY1,0.6499999999999999,boy,1.27,1.92,1,1,2.4096385542168677,61,61-70970-0008
B.R.EH1.TH,0.33999999999999986,breath,3.83,4.17,1,1,4.666666666666667,61,61-70968-0032
B.R.EH1.TH,0.41999999999999993,breath,5.44,5.86,1,1,4.5212765957446805,61,61-70970-0001
CH.AY1.L.D,0.5299999999999998,child,3.06,3.59,1,1,3.9393939393939394,61,61-70968-0001
CH.EY1.M,0.29000000000000004,chamber,3.53,4.04,2,1-0,5.319148936170213,61,61-70970-0013
CH.EY1.M,0.3000000000000007,chamber,5.85,6.37,2,1-0,4.810126582278481,61,61-70970-0015
CH.IY1.K.S,0.5,cheeks,2.93,3.43,1,1,4.934210526315789,61,61-70968-0056
D.AY1.D,0.5100000000000007,died,4.27,4.78,1,1,4.761904761904762,61,61-70968-0005
D.EY1,0.3700000000000001,day,2.27,2.64,1,1,3.71900826446281,61,61-70968-0036
D.EY1,0.41999999999999993,day,5.48,5.9,1,1,3.03030303030303,61,61-70970-0011
D.EY1.Z,0.4800000000000004,days,4.26,4.74,1,1,5.46075085324232,61,61-70968-0041
D.IH1.G,0.16999999999999993,dignity,3.24,3.75,3,1-0-0,4.892966360856269,61,61-70968-0053
DH.AH0.M,0.2400000000000002,them,5.58,5.82,1,1,5.535055350553504,61,61-70970-0037
DH.AH0.M,0.21999999999999975,them,6.16,6.38,1,1,5.882352941176471,61,61-70970-0036
DH.EH1.N,0.29000000000000004,then,1.43,1.72,1,1,4.6875,61,61-70970-0005
DH.EH1.N,0.28000000000000025,then,7.68,7.96,1,1,4.021447721179625,61,61-70968-0049
EH1.N,0.20000000000000018,n,2.44,2.64,1,1,5.138339920948616,61,61-70970-0010
EH1.S,0.20000000000000018,s,3.67,3.87,1,1,4.347826086956522,61,61-70970-0029
F.AA1,0.22999999999999998,father,3.47,3.97,2,1-0,4.86111111111111,61,61-70968-0003
F.AA1,0.20000000000000018,father,1.88,2.32,2,1-0,5.524861878453039,61,61-70970-0002
F.AO1,0.13000000000000078,forest,9.44,9.98,2,1-0,5.769230769230769,61,61-70970-0038
F.EH1,0.1100000000000001,fellow,1.63,1.99,2,1-0,3.910614525139665,61,61-70968-0018
F.EH1,0.11999999999999988,fellow,1.6,1.95,2,1-0,4.4692737430167595,61,61-70968-0023
F.EH1.R,0.4200000000000004,fair,2.82,3.24,1,1,4.651162790697674,61,61-70970-0033
F.ER1.S.T,0.4500000000000002,first,5.56,6.01,1,1,4.0201005025125625,61,61-70968-0010
F.OW1.Z,0.4800000000000004,foes,4.31,4.79,1,1,5.3215077605321515,61,61-70968-0026
G.L.AE1.N.S,0.5800000000000001,glance,7.36,7.94,1,1,4.117647058823529,61,61-70968-0010
G.R.AW1.N.D,0.5,ground,4.38,4.88,1,1,4.888888888888889,61,61-70970-0027
G.R.EY1.S,0.5399999999999998,grace,1.74,2.28,1,1,4.225352112676057,61,61-70968-0021
HH.AE1,0.1299999999999999,happiness,2.77,3.42,3,1-0-0,4.402515723270441,61,61-70968-0060
HH.AE1.N.Z,0.5899999999999999,hands,5.66,6.25,1,1,4.642857142857143,61,61-70970-0039
HH.AH1.T,0.2799999999999998,hut,3.14,3.42,1,1,5.974842767295598,61,61-70970-0025
HH.AH1.T,0.27,hut,2.22,2.49,1,1,5.405405405405405,61,61-70970-0024
HH.AO1.L,0.33999999999999986,hall,4.03,4.37,1,1,5.583756345177664,61,61-70970-0018
HH.AW1.S,0.40000000000000036,house,6.13,6.53,1,1,4.6610169491525415,61,61-70968-0043
HH.IY1,0.2999999999999998,he,2.08,2.38,1,1,3.587443946188341,61,61-70968-0020
HH.IY1.R,0.6000000000000001,here,1.9,2.5,1,1,1.7241379310344829,61,61-70968-0025
IH1.N,0.10000000000000009,interview,1.39,1.87,3,1-0-2,5.625,61,61-70970-0001
IY1.R.Z,0.41999999999999993,ears,2.43,2.85,1,1,5.150214592274678,61,61-70970-0037
K.AA1.M,0.33999999999999986,comrades,2.62,3.41,2,1-2,3.8167938931297707,61,61-70968-0039
K.AH1.M,0.3799999999999999,come,2.47,2.85,1,1,5.038759689922481,61,61-70970-0012
K.AW1.N,0.31000000000000005,counsel,3.26,3.8,2,1-0,4.950495049504951,61,61-70970-0002
K.EY1.M,0.3799999999999999,came,2.23,2.61,1,1,5.829596412556054,61,61-70968-0006
K.L.AO1.TH,0.48,cloth,1.81,2.29,1,1,4.6082949308755765,61,61-70968-0032
K.R.AW1.D,0.33999999999999986,crowd,5.05,5.39,1,1,5.737704918032788,61,61-70968-0019
K.R.AY1.Z,0.5099999999999998,cries,6.08,6.59,1,1,4.889589905362776,61,61-70968-0035
K.W.IH1,0.20999999999999996,quickly,2.48,3.04,2,1-0,4.135338345864661,61,61-70968-0051
L.AE1.D,0.52,lad,2.32,2.84,1,1,3.759398496240602,61,61-70968-0057
L.AE1.F,0.3900000000000001,laugh,3.89,4.28,1,1,4.864864864864865,61,61-70970-0034
L.AW1,0.20000000000000018,louder,3.91,4.31,2,1-0,4.487179487179488,61,61-70968-0025
L.AY1.F,0.5700000000000001,life,1.97,2.54,1,1,4.11522633744856,61,61-70968-0002
L.EH1.F.T,0.4400000000000004,left,4.25,4.69,1,1,5.8252427184466,61,61-70968-0000
L.EY1.T,0.4,late,0.48,0.88,1,1,2.73972602739726,61,61-70970-0009
L.IH1.V,0.3900000000000001,live,1.42,1.81,1,1,4.316546762589928,61,61-70970-0004
M.AA1.R,0.38000000000000034,marvels,2.57,3.46,2,1-0,2.9605263157894735,61,61-70968-0007
M.AA1.R,0.2599999999999998,marvel,4.75,5.27,2,1-0,4.761904761904763,61,61-70968-0061
M.AE1,0.18000000000000016,master,1.63,2.16,2,1-0,3.571428571428571,61,61-70968-0009
M.AE1,0.18999999999999995,matter,2.73,3.17,2,1-0,5.2264808362369335,61,61-70970-0039
M.AE1.N,0.6199999999999997,man,3.56,4.18,1,1,3.4285714285714293,61,61-70968-0009
M.EH1.N,0.3599999999999999,men,2.66,3.02,1,1,4.316546762589928,61,61-70968-0045
M.EH1.N,0.31999999999999995,men,0.87,1.19,1,1,4.651162790697675,61,61-70968-0025
M.EY1.D,0.3999999999999999,maid,3.27,3.67,1,1,5.000000000000001,61,61-70968-0004
M.IH1,0.14000000000000057,mission,6.56,7.03,2,1-0,5.555555555555555,61,61-70970-0024
M.IY1,0.39000000000000057,me,9.83,10.22,1,1,4.713804713804713,61,61-70970-0004
M.IY1,0.3699999999999999,me,1.54,1.91,1,1,5.9171597633136095,61,61-70968-0059
M.OW1,0.21999999999999975,moment,2.14,2.65,2,1-0,5.668016194331984,61,61-70968-0048
N.AW1,0.3999999999999999,now,2.19,2.59,1,1,4.761904761904763,61,61-70968-0044
N.AW1,0.43999999999999995,now,1.32,1.76,1,1,4.25531914893617,61,61-70968-0058
P.EY1,0.21999999999999997,patience,1.61,2.06,2,1-0,4.1450777202072535,61,61-70968-0024
P.EY1.JH,0.4999999999999998,page,1.82,2.32,1,1,4.2328042328042335,61,61-70968-0004
P.IH1.T,0.3199999999999994,pit,6.74,7.06,1,1,4.956268221574344,61,61-70970-0025
P.R.AW1.D,0.31999999999999984,proudly,3.46,4.05,2,1-0,3.68271954674221,61,61-70970-0011
P.R.EH1,0.20000000000000018,presently,3.23,3.91,3,1-0-0,4.437869822485207,61,61-70968-0037
R.AA1,0.13999999999999968,robin,3.37,3.77,2,1-0,5.438066465256798,61,61-70968-0040
R.AA1,0.1200000000000001,robin,3.11,3.49,2,1-0,4.697986577181207,61,61-70968-0061
R.AY1,0.23000000000000043,rioting,4.17,4.67,3,1-0-0,5.647058823529412,61,61-70968-0047
R.EH1,0.13999999999999968,ready,4.08,4.53,2,1-0,4.999999999999998,61,61-70970-0020
R.EH1,0.10999999999999988,wrestlers,2.95,3.56,2,1-0,2.803738317757009,61,61-70968-0043
R.EH1.R,0.31999999999999984,rarely,2.37,2.97,2,1-0,3.942652329749104,61,61-70970-0030
R.EH1.S.K,0.3500000000000001,rescue,3.31,4.02,2,1-0,2.5641025641025648,61,61-70968-0034
R.IY1.CH.T,0.3800000000000001,reached,1.47,1.85,1,1,4.895104895104895,61,61-70968-0046
R.UW1.F.S,0.47999999999999954,roofs,4.66,5.14,1,1,4.928131416837783,61,61-70970-0021
S.AH1.N.Z,0.45999999999999996,sons,2.32,2.78,1,1,4.761904761904763,61,61-70968-0013
S.AH1.N.Z,0.47000000000000064,sons,4.52,4.99,1,1,5.3452115812917596,61,61-70968-0017
S.AO1.F.T,0.3899999999999999,softly,1.5,2.11,2,1-0,2.824858757062147,61,61-70970-0015
S.AY1.T,0.41999999999999993,sight,6.49,6.91,1,1,4.065040650406504,61,61-70970-0004
S.EH1.D,0.33000000000000007,said,1.75,2.08,1,1,4.0,61,61-70970-0006
S.ER1,0.4099999999999997,sir,1.85,2.26,1,1,4.571428571428572,61,61-70968-0005
S.K.W.AY1.R,0.5300000000000002,squire,5.3,5.83,1,1,4.900181488203267,61,61-70970-0000
S.L.IY1.V,0.6399999999999999,sleeve,1.89,2.53,1,1,4.97737556561086,61,61-70968-0052
S.P.EY1.S,0.4700000000000002,space,2.8,3.27,1,1,4.587155963302753,61,61-70970-0009
S.P.OW1.K,0.43000000000000016,spoke,3.0,3.43,1,1,5.633802816901409,61,61-70970-0020
S.T.EH1.P,0.41999999999999993,step,2.71,3.13,1,1,5.208333333333334,61,61-70970-0014
S.T.R.OW1,0.25,stroller,4.7,5.2,2,1-0,4.184100418410042,61,61-70968-0015
SH.AA1.R,0.25,sharply,3.44,3.98,2,1-0,2.5714285714285716,61,61-70968-0019
SH.AW1.T,0.3700000000000001,shout,5.17,5.54,1,1,4.307116104868914,61,61-70968-0030
SH.AW1.T,0.35000000000000053,shout,5.1,5.45,1,1,5.136986301369863,61,61-70968-0033
T.EH1,0.1299999999999999,terrified,3.63,4.3,3,1-0-2,4.651162790697675,61,61-70968-0013
T.EH1.N.T,0.3799999999999999,tent,5.74,6.12,1,1,5.5846422338568935,61,61-70968-0011
T.EH1.N.T,0.33999999999999986,tent,1.96,2.3,1,1,5.825242718446603,61,61-70968-0033
T.R.IH1.K.S,0.5900000000000001,tricks,1.55,2.14,1,1,4.371584699453551,61,61-70968-0062
T.W.AY1,0.27999999999999936,twilight,4.24,4.9,2,1-2,3.7433155080213893,61,61-70968-0057
V.AO1.L.T,0.41000000000000014,vault,5.95,6.36,1,1,5.203252032520325,61,61-70970-0028
V.EH1.K.S.T,0.5599999999999998,vexed,1.09,1.65,1,1,4.225352112676057,61,61-70968-0016
V.OY1.S,0.5899999999999999,voice,2.04,2.63,1,1,4.938271604938272,61,61-70970-0029
W.EY1,0.3500000000000001,way,1.83,2.18,1,1,5.6701030927835046,61,61-70968-0003
W.IH1,0.14000000000000012,wizard,2.02,2.44,2,1-0,5.882352941176471,61,61-70968-0000
W.IH1.L,0.33999999999999986,will,1.04,1.38,1,1,4.040404040404041,61,61-70968-0041
W.IH1.L,0.51,will,0.41,0.92,1,1,1.9607843137254901,61,61-70970-0020
W.IH1.N,0.20999999999999996,window,3.65,4.13,2,1-0,6.0,61,61-70970-0016
Y.UW1,0.4700000000000002,you,2.92,3.39,1,1,4.658385093167702,61,61-70968-0008
Y.UW1,0.16999999999999993,you,1.9,2.07,1,1,4.972375690607735,61,61-70970-0017
Y.UW1,0.25,you,3.19,3.44,1,1,4.229607250755287,61,61-70970-0003
